rouge1_f,rouge2_f,rougeL_f,meteor,bleu1,bleu2,bleu3,bleu4,bertscore_precision,bertscore_recall,bertscore_f1,interaction_number
0.2142857142857143,0.004784688995215311,0.08571428571428573,0.08016032064128256,0.08847956011763171,0.018704871571881415,0.004112650608264149,0.0019311393571463712,0.344265878200531,0.43406131863594055,0.3839837312698364,1
0.21414141414141413,0.004056795131845843,0.06868686868686869,0.07687012391005048,0.086161181094562,0.01981222370298165,0.003912328609498696,0.0017405648125303583,0.33170419931411743,0.43582719564437866,0.37670308351516724,2
0.1733102253032929,0.006956521739130435,0.058925476603119586,0.055379746835443035,0.036719186587912844,0.007150257424636334,0.0015292987751502282,0.0007081228288540925,0.30954691767692566,0.43255603313446045,0.3608565926551819,3
0.15946843853820594,0.008879023307436182,0.07308970099667775,0.04887837003498662,0.007035756697119727,0.0021263343502034874,0.00034677972943054724,0.00014020972224276286,0.3252871632575989,0.46166276931762695,0.38165828585624695,4
0.13112033195020747,0.006650041562759767,0.05809128630705394,0.03979273663579167,0.0006842123644011457,0.0001714657650199472,2.9391198521850167e-05,1.2183317814970172e-05,0.30840086936950684,0.46186989545822144,0.36984676122665405,5
0.12759415833973864,0.007698229407236336,0.0568793235972329,0.03610054691668742,0.0004667885253623899,0.0001289352106629828,2.148164055003384e-05,8.77838432721155e-06,0.308642715215683,0.46872711181640625,0.37220174074172974,6
0.10129564193168433,0.009433962264150941,0.053003533568904596,0.02752269210635851,2.464381738146901e-05,9.440646579306065e-06,1.3556048761009004e-06,5.142948377057216e-07,0.3075563907623291,0.4742664694786072,0.3731374144554138,7
0.09660724554341575,0.00690846286701209,0.05175388154111559,0.02545824847250509,2.3440903396329345e-05,8.43942342204292e-06,1.219067385494417e-06,4.638572727429898e-07,0.3134799003601074,0.4765157699584961,0.3781745433807373,8
0.07821782178217823,0.0029732408325074335,0.040594059405940595,0.02167884067028632,1.8343089305363512e-06,5.948003458741177e-07,9.132948458680645e-08,3.5830193706011903e-08,0.30306386947631836,0.4792903959751129,0.37132948637008667,9
0.07784718885151369,0.001924001924001924,0.03844305622296972,0.023191154722009007,2.2251801081111275e-06,6.900714731626476e-07,1.0438549846235301e-07,4.064465036933959e-08,0.3031831979751587,0.4765470623970032,0.3705924153327942,10
0.06359300476947535,0.0007955449482895785,0.034976152623211444,0.01683694552512582,8.938062641915343e-09,3.1293411325013095e-09,4.759970053067767e-10,1.858848076574213e-10,0.2992129325866699,0.48827823996543884,0.3710496425628662,11
0.06406792744114242,0.001544998068752414,0.03396372057120803,0.018314816792146256,2.2572540198331883e-08,6.982447143735728e-09,1.097668505716495e-09,4.3573130933612216e-10,0.2995619773864746,0.4958292841911316,0.37348058819770813,12
0.05907172995780592,0.0014074595355383535,0.03305203938115331,0.014841953254532813,8.755403188037094e-10,2.374378366321275e-10,3.932462488719956e-11,1.6024339589335756e-11,0.30161234736442566,0.49899429082870483,0.37597203254699707,13
0.055591467356173235,0.0006468305304010349,0.030381383322559793,0.0150887681543059,4.476929094423406e-10,1.094893985190238e-10,1.8615743865681625e-11,7.685336666815468e-12,0.29780417680740356,0.49349409341812134,0.37145185470581055,14
0.051515151515151514,0.0006064281382656156,0.027878787878787878,0.012720022002200222,3.0315767842087865e-11,6.593083673275344e-12,1.1613023732033317e-12,4.88010359822434e-13,0.2998855412006378,0.4998030960559845,0.3748551905155182,15
