rouge1_f,rouge2_f,rougeL_f,meteor,bleu1,bleu2,bleu3,bleu4,bertscore_precision,bertscore_recall,bertscore_f1,interaction_number
0.17435897435897435,0.04145077720207254,0.13333333333333333,0.1319798832839071,0.18867924528301888,0.04887069548308309,0.024777974152366756,0.009937295332810315,0.41243383288383484,0.42959555983543396,0.420839786529541,1
0.16571428571428573,0.022988505747126436,0.09714285714285714,0.09635121639278256,0.1346914897062277,0.029110316598501815,0.013885424663879948,0.005398613910550878,0.36170369386672974,0.39733827114105225,0.37868452072143555,2
0.16740088105726872,0.017699115044247784,0.10132158590308371,0.08311193523909342,0.0918894546490989,0.01788599347072949,0.008238245997286134,0.003147272028678883,0.34985581040382385,0.39590662717819214,0.37145936489105225,3
0.15985130111524162,0.014925373134328358,0.08550185873605948,0.07471636466829584,0.06812383221992842,0.01501403531184268,0.006296235979540961,0.0022950533910780784,0.34580501914024353,0.3921266496181488,0.36751195788383484,4
0.1586776859504132,0.013266998341625208,0.07272727272727272,0.068387724518928,0.04088819329568724,0.007542534494895485,0.003412213165373209,0.0012918556080908042,0.33863043785095215,0.3901713490486145,0.3625783920288086,5
0.1376281112737921,0.014684287812041114,0.06442166910688141,0.051743738938700344,0.01765781242147093,0.0045686377430068275,0.0026486415864566937,0.0018241899732643358,0.3249044120311737,0.39822298288345337,0.35784676671028137,6
0.12250332889480693,0.01602136181575434,0.05858854860186419,0.043163167430459344,0.009885999517904948,0.0012684289318752057,0.0002973656920257481,0.0001441326288643773,0.32980433106422424,0.4136437177658081,0.366996705532074,7
0.1386861313868613,0.014634146341463415,0.06326034063260341,0.041985092933295595,0.0068944143570192394,0.0008635375502522684,0.0002008140454338828,9.693731261907997e-05,0.3367007374763489,0.4240914583206177,0.3753769099712372,8
0.11884865366759516,0.011162790697674419,0.05942432683379758,0.03279686232080065,0.0013794707637104404,0.00015854979856511894,3.5828258506127376e-05,1.7048616022676947e-05,0.32743754982948303,0.43489328026771545,0.3735920786857605,9
0.1188997338065661,0.014222222222222223,0.05678793256433008,0.031018547825536494,0.0008708094084427016,0.00017688007252525598,3.35066041227383e-05,1.4597815582724719e-05,0.3285064101219177,0.4369322657585144,0.3750399649143219,10
0.1123404255319149,0.010230179028132991,0.054468085106382985,0.02849139249123841,0.0007182238464689464,2.576632902160708e-05,8.509009038393851e-06,4.8945806941466444e-06,0.33052921295166016,0.433524489402771,0.37508490681648254,11
0.09932279909706547,0.00904295403165034,0.048156508653122654,0.024818339985671886,0.0001934027106808356,2.1531450077284698e-05,4.8140942120279275e-06,2.2785849957465147e-06,0.32160061597824097,0.4289705455303192,0.36760589480400085,12
0.10139603232916973,0.008830022075055188,0.04849375459221161,0.023191088999217544,5.524391554972712e-05,2.0777115141185953e-06,6.971209854639396e-07,4.0423937407064644e-07,0.3161170780658722,0.426969975233078,0.36327505111694336,13
