rouge1_f,rouge2_f,rougeL_f,meteor,bleu1,bleu2,bleu3,bleu4,bertscore_precision,bertscore_recall,bertscore_f1,interaction_number
0.1324503311258278,0.02,0.0662251655629139,0.07861836080586082,0.08551746139187671,0.016207922714950293,0.004329696237225964,0.0022410706495508046,0.35715416073799133,0.4346667528152466,0.3921165466308594,1
0.15605749486652978,0.024742268041237112,0.07392197125256672,0.07437148500790919,0.07151578169575168,0.022381193841443305,0.009584911127563827,0.0035307377216822785,0.34169942140579224,0.39866936206817627,0.3679925203323364,2
0.16131830008673023,0.0052128583840139004,0.06938421509106679,0.05577575624767585,0.008909165703032353,0.0018217974056225653,0.00031420664046853973,0.00013060508053929062,0.3463442325592041,0.44711753726005554,0.39033153653144836,3
0.12156633547632961,0.004681100058513751,0.058445353594389245,0.03692723773859676,0.0005799981014026995,0.00013889254691883918,2.2057794066846754e-05,8.798165007855245e-06,0.33583083748817444,0.4724807143211365,0.3926050364971161,4
0.09450436569080636,0.003084832904884319,0.0482794042116076,0.027470093043863535,8.904255729103814e-05,1.8703319390300944e-05,3.254984488564326e-06,1.3591674976550857e-06,0.32776975631713867,0.4675557315349579,0.3853783905506134,5
0.09448818897637797,0.004636068613815485,0.04724409448818898,0.027055849593174818,4.747138867725255e-05,1.1591076939954092e-05,1.8527797341562505e-06,7.414212853943915e-07,0.33583885431289673,0.47797930240631104,0.39449605345726013,6
0.08386581469648563,0.002398081534772182,0.03674121405750799,0.024518566773909484,3.066473341920455e-06,5.321491840605123e-07,9.564939909927739e-08,4.059071329899478e-08,0.3398094177246094,0.4837503433227539,0.3992009460926056,7
0.08282756158514816,0.003572704537334762,0.03927168868261335,0.023369293630030277,2.36072512340692e-06,5.784414989477958e-07,8.793028771462181e-08,3.4313075817072676e-08,0.3365195393562317,0.48594382405281067,0.3976580500602722,8
0.0732102364755426,0.005186385737439222,0.03757693553611921,0.021006019427688195,1.8455068744697182e-07,4.8766039114807604e-08,7.271554343309337e-09,2.810528690490638e-09,0.3281022906303406,0.48887038230895996,0.3926679491996765,9
0.07086365074343563,0.006964229186451409,0.03669724770642203,0.020538212358399616,1.4037358176095902e-07,4.1290796296939784e-08,5.923464022974079e-09,2.24563094905512e-09,0.32759159803390503,0.49254143238067627,0.3934786915779114,10
