rouge1_f,rouge2_f,rougeL_f,meteor,bleu1,bleu2,bleu3,bleu4,bertscore_precision,bertscore_recall,bertscore_f1,interaction_number
0.08888888888888888,0.0,0.06666666666666667,0.06996268656716419,0.07894736842105263,0.006463056119412345,0.002811292290079548,0.0018566032208367335,0.3883475661277771,0.33538976311683655,0.3599311411380768,1
0.08571428571428573,0.0,0.05,0.0434583714547118,0.07851239669421486,0.005707692875795309,0.0023854481630227035,0.0015437537033122627,0.3661649227142334,0.34392449259757996,0.3546963930130005,2
0.14210526315789476,0.0,0.06842105263157894,0.04453759496987162,0.06129770378142637,0.0036707682512605406,0.0014381080685444713,0.0009010696912213365,0.3535066246986389,0.3746657371520996,0.3637787699699402,3
0.1309255079006772,0.0,0.06772009029345373,0.039966344131257894,0.04650036794811549,0.0026898185889966644,0.001041594758271232,0.0006487889926965948,0.3420734405517578,0.36798158288002014,0.3545548617839813,4
0.12,0.0,0.068,0.03339612947422504,0.03424112238082564,0.0018604598396726158,0.0007055388678505051,0.0004348907862244924,0.33675456047058105,0.37103891372680664,0.3530663847923279,5
0.1039426523297491,0.0,0.06451612903225806,0.027813436029097128,0.02136213090371106,0.0011606756023732638,0.00044015480315821924,0.0002713055159258228,0.3267293870449066,0.3696240782737732,0.34685561060905457,6
0.0988835725677831,0.009600000000000001,0.05103668261562999,0.028687246155711374,0.015163397413791425,0.0008237871072715097,0.0003123644056116679,0.00019251582905427088,0.3356064558029175,0.38125312328338623,0.3569765090942383,7
0.08784773060029283,0.005873715124816446,0.05856515373352855,0.024387158007338948,0.008170618684545125,0.0004648849536320306,0.00017901596697515062,0.00011118683426200128,0.33347439765930176,0.386003315448761,0.3578212857246399,8
0.07751937984496123,0.005181347150259067,0.049095607235142114,0.021971648347022144,0.005201185615137261,0.00027849398919330446,0.00010508813926231894,6.460988665028881e-05,0.34069347381591797,0.39067983627319336,0.36397847533226013,9
0.0676328502415459,0.004842615012106537,0.05072463768115943,0.018616558605310543,0.0026939477670128247,0.00015327509147624205,5.902142487149102e-05,3.6657519526833715e-05,0.34007298946380615,0.3905948996543884,0.36358726024627686,10
0.06872852233676975,0.004592422502870264,0.050400916380297825,0.018025657024854782,0.0019436140613020055,0.00010559466288902643,4.004073517230654e-05,2.4678601042791275e-05,0.3319687843322754,0.3889424800872803,0.35820430517196655,11
