rouge1_f,rouge2_f,rougeL_f,meteor,bleu1,bleu2,bleu3,bleu4,bertscore_precision,bertscore_recall,bertscore_f1,interaction_number
0.20433436532507737,0.037383177570093455,0.10526315789473684,0.15600337179284546,0.1872146118721461,0.05075773704372741,0.022812957411518966,0.008610388644192002,0.42208331823349,0.43330907821655273,0.427622526884079,1
0.1818181818181818,0.011406844106463879,0.08333333333333333,0.12421307893364557,0.1636545959621168,0.039472464524922285,0.007192917816676526,0.003073218946545178,0.39211344718933105,0.434402734041214,0.412176251411438,2
0.18089171974522295,0.01277139208173691,0.07898089171974522,0.09857187208941323,0.08971991346210245,0.024923672826573227,0.008510436360623212,0.0027987969742043757,0.3658546805381775,0.42909714579582214,0.39496031403541565,3
0.16839677047289503,0.009248554913294797,0.08304498269896195,0.08654216674005841,0.054367317134756045,0.012765260166885537,0.002140048076949495,0.0008769738516010523,0.34864646196365356,0.427334725856781,0.38400089740753174,4
0.14920071047957373,0.0071174377224199285,0.06571936056838366,0.06893138190077475,0.018172309854253693,0.003455520606209932,0.0005816827298736811,0.00023885945589022128,0.35792434215545654,0.44962868094444275,0.39856958389282227,5
0.13852140077821012,0.007794232268121589,0.0622568093385214,0.058077616989524815,0.007705923219940741,0.0014654008656057858,0.00024669347931345506,0.00010130773723734996,0.3552182912826538,0.450187623500824,0.39710381627082825,6
0.13304410701373828,0.008689355539464157,0.05929139551699204,0.056741860061992444,0.006092602949434913,0.001289484748964419,0.00020882887864819927,8.411024962654786e-05,0.36178427934646606,0.45472994446754456,0.4029669761657715,7
0.12048192771084337,0.007619047619047618,0.054533925174381735,0.05149169426509273,0.002313200668116216,0.0004340564104557226,7.274599479133918e-05,2.9807176330775974e-05,0.3622680604457855,0.4788285791873932,0.412471741437912,8
0.12138728323699421,0.006944444444444445,0.05664739884393063,0.04797441364605543,0.0013835518838549422,0.0002805760613579786,4.4796847544528e-05,1.7915276680405804e-05,0.36001837253570557,0.4857037663459778,0.41352182626724243,9
0.11043566362715299,0.011156186612576065,0.050658561296859174,0.04325761237312711,0.0005261236408845167,0.0001267590568749133,1.9160269287414673e-05,7.45560413856326e-06,0.36019283533096313,0.4860776662826538,0.41377243399620056,10
0.09772617319787132,0.008716707021791767,0.045476536042573776,0.0374753588009788,0.0001455155318151366,4.0262558445812835e-05,5.861756123868672e-06,2.238720495642915e-06,0.3478354215621948,0.48348861932754517,0.4045942425727844,11
0.09442446043165467,0.008100810081008101,0.046762589928057555,0.036209541535568886,0.00011578797085210824,1.8189629738932907e-05,3.162461555919158e-06,1.3198319107890978e-06,0.3620989918708801,0.49996277689933777,0.42000705003738403,12
