rouge1_f,rouge2_f,rougeL_f,meteor,bleu1,bleu2,bleu3,bleu4,bertscore_precision,bertscore_recall,bertscore_f1,interaction_number
0.20320855614973263,0.010810810810810811,0.0962566844919786,0.12387466532797857,0.1879482398689867,0.03773394657721906,0.010282090767102205,0.0053777544719310144,0.4076068699359894,0.4240615963935852,0.4156714379787445,1
0.2934131736526946,0.048192771084337345,0.125748502994012,0.1391390309710285,0.1879173047380774,0.06996945667017453,0.031764842559924296,0.010133732038113434,0.39089691638946533,0.4410005509853363,0.4144398868083954,2
0.22988505747126436,0.04157043879907621,0.09655172413793103,0.10261930503391989,0.11072237546999131,0.03424723718731684,0.016083282647809404,0.005217815001588865,0.37348878383636475,0.4317786395549774,0.4005240201950073,3
0.22344322344322345,0.03676470588235294,0.11355311355311355,0.08506280584629215,0.06310735727819149,0.02390600015967892,0.009814056711295012,0.002976831722971064,0.3488253951072693,0.42226332426071167,0.38204729557037354,4
0.18575851393188852,0.027950310559006215,0.09907120743034055,0.06960390355912743,0.03969206111560782,0.014568510057619482,0.005917642691487315,0.0017853485877889494,0.34362661838531494,0.42304709553718567,0.3792232573032379,5
0.15915119363395228,0.005319148936170213,0.07692307692307691,0.05293440736478711,0.01100370703319594,0.004082294123498597,0.0017181342743067688,0.0005277087065186897,0.33002883195877075,0.4452435374259949,0.3790750503540039,6
0.15274463007159905,0.007177033492822966,0.07875894988066826,0.04773147197700678,0.00785967809076065,0.0023599117391649434,0.0008273500324303247,0.0002757942719905949,0.322988361120224,0.4459220767021179,0.37462785840034485,7
0.15632183908045974,0.020737327188940093,0.08275862068965517,0.04718925284328613,0.005363848010286996,0.0020453347146647274,0.0006679307904438677,0.0002148912955868082,0.32316017150878906,0.4434933066368103,0.37388303875923157,8
0.1366594360086768,0.015217391304347827,0.07158351409978309,0.04190560211733568,0.003470493458285783,0.0012535312076109586,0.0004149976757549379,0.00013443121111228782,0.32916513085365295,0.4351801574230194,0.3748204708099365,9
0.12830957230142567,0.016326530612244896,0.06720977596741344,0.036425449247207385,0.0016546495284023247,0.000613855937728924,0.00020505533674610105,6.672509097851244e-05,0.32456305623054504,0.4353867173194885,0.37189415097236633,10
0.13732394366197184,0.021164021164021163,0.06514084507042253,0.03844833975842751,0.0012142995460985332,0.0005218722450409569,0.00026764247945495714,0.00015259438491620417,0.3222592771053314,0.4393133223056793,0.37179064750671387,11
0.11983122362869199,0.0169061707523246,0.06244725738396624,0.033109635145681576,0.0003590793094713196,0.00015447900884403099,8.286941951634208e-05,4.8326739574051073e-05,0.31955236196517944,0.4410538673400879,0.37059861421585083,12
0.12779552715654952,0.0272,0.06869009584664537,0.035834918238183404,0.00021451997822748598,0.00010492396147171785,6.100816899917191e-05,3.644795796491027e-05,0.31584632396698,0.4473991394042969,0.3702855408191681,13
