rouge1_f,rouge2_f,rougeL_f,meteor,bleu1,bleu2,bleu3,bleu4,bertscore_precision,bertscore_recall,bertscore_f1,interaction_number
0.2105263157894737,0.05286343612334802,0.07456140350877193,0.0974462659380692,0.09444428464774392,0.03865064412152254,0.02281296075705952,0.015444201425409055,0.3272516131401062,0.4185827672481537,0.3673252463340759,1
0.1600703605980651,0.02290748898678414,0.07036059806508355,0.053195999256444165,0.00558596871182188,0.002189767203004629,0.00118240061574655,0.0006608525958592466,0.33840635418891907,0.45519787073135376,0.3882082402706146,2
0.10598834128245896,0.00636604774535809,0.04981452040275569,0.03199099384216815,1.8795554834351327e-05,6.969988934829538e-06,3.0765590727205033e-06,8.744608235064025e-07,0.3239869177341461,0.47764527797698975,0.38608935475349426,3
0.0959852330410706,0.012933025404157045,0.047069681587448085,0.029963303330060784,7.984243881582286e-06,3.299564593789066e-06,1.3806714790737933e-06,6.79408102934441e-07,0.32789915800094604,0.48392483592033386,0.3909186124801636,4
0.09002647837599294,0.006183745583038869,0.04501323918799647,0.02607226362273195,1.7727460097893586e-06,6.144769904884606e-07,9.023374811927854e-08,3.4620570164112565e-08,0.3161354660987854,0.47942984104156494,0.3810240924358368,5
0.08233413269384492,0.0063999999999999994,0.04476418864908074,0.02532926276377898,1.2783527352619948e-06,4.634363381434131e-07,6.373454896383254e-08,2.3662210051406745e-08,0.3214397430419922,0.485379695892334,0.38675400614738464,6
0.07351351351351351,0.0036062026685899752,0.036756756756756756,0.022095065053898726,8.863948086275411e-08,2.917667540574445e-08,9.07233681835904e-09,2.848208523874097e-09,0.3161337971687317,0.49577200412750244,0.38607996702194214,7
0.06230133502860775,0.005089058524173028,0.033693579148124604,0.01821385800751472,1.7839286321183913e-09,6.290133862277954e-10,1.9442359256245153e-10,6.086081047752624e-11,0.3075665235519409,0.4944332242012024,0.3792298138141632,8
0.055245535714285705,0.0033500837520938024,0.03125,0.015229839945948401,1.1083127897645343e-10,2.954306938640985e-11,4.62095849226058e-12,1.8298119566654963e-12,0.3041746914386749,0.4899818003177643,0.3753417730331421,9
0.05358119190814653,0.0065645514223194755,0.032804811372334604,0.013806165993473448,3.2076583932194473e-11,1.0169218830045543e-11,1.4964336719931464e-12,5.747748759546709e-13,0.2972348928451538,0.49201345443725586,0.3705894947052002,10
