rouge1_f,rouge2_f,rougeL_f,meteor,bleu1,bleu2,bleu3,bleu4,bertscore_precision,bertscore_recall,bertscore_f1,interaction_number
0.13043478260869568,0.008733624454148471,0.060869565217391314,0.06916092922190484,0.05941401082866144,0.01179601243070712,0.002539542469914757,0.0011798576954335689,0.3347901403903961,0.4065849483013153,0.367211252450943,1
0.13086150490730644,0.017486338797814208,0.0588876772082879,0.050630257433126276,0.0155594438409564,0.005196148541793003,0.002186323351753589,0.0006712444665068242,0.3469932973384857,0.4291374683380127,0.3837183713912964,2
0.11455108359133127,0.017054263565891473,0.05882352941176471,0.03770048670731929,0.002099358120299382,0.0007478853255368668,0.00034424732233483645,9.988884174848328e-05,0.34436866641044617,0.44573917984962463,0.3885510265827179,3
0.09322033898305085,0.014545454545454547,0.054479418886198554,0.02967014087248691,0.00025665549182104385,9.389738760128992e-05,4.2360299601238235e-05,1.2168904439873876e-05,0.34143778681755066,0.45955798029899597,0.391788512468338,4
0.08677513558614935,0.011691022964509395,0.04672507300792658,0.027276288339752246,2.2073678108119343e-05,8.944677622377353e-06,4.323767239093369e-06,2.0120847071426013e-06,0.3444443345069885,0.48509693145751953,0.40284648537635803,5
0.08631921824104234,0.010594947025264874,0.04397394136807818,0.026108848273166257,1.7181692911548567e-05,6.594170779055e-06,2.745946546682545e-06,1.3475784216586172e-06,0.34214723110198975,0.4848659038543701,0.40119197964668274,6
0.06610009442870633,0.005669291338582678,0.03840100723953415,0.018937571302630823,3.0523376432877037e-07,9.43652440541132e-08,2.96521718473284e-08,9.355533984138542e-09,0.33909523487091064,0.49387967586517334,0.4021063446998596,7
0.057543520309477764,0.006773101112723755,0.031914893617021274,0.016512856653547327,7.291115950843346e-09,2.540233991128026e-09,1.0465065672191833e-09,2.872571191085094e-10,0.34310925006866455,0.49978628754615784,0.4068862497806549,8
0.055227755487373145,0.006139315230224321,0.02926599008732594,0.016016405525534315,3.582403809825372e-09,1.2849159859081893e-09,4.669328487175012e-10,1.332180631262458e-10,0.3447263240814209,0.5019466876983643,0.40873923897743225,9
0.0463768115942029,0.004015168414008476,0.023634336677814935,0.013657379290255605,4.938922947227853e-10,1.6781705650908296e-10,4.986230615715691e-11,1.529779894498643e-11,0.34414535760879517,0.5052985548973083,0.4094352722167969,10
0.04567157982146564,0.0033229491173416403,0.02449657463151339,0.013195570607961666,3.982471485728242e-11,1.239348551075888e-11,1.75499561431319e-12,6.61026245698142e-13,0.33841395378112793,0.5056732296943665,0.4054720401763916,11
