rouge1_f,rouge2_f,rougeL_f,meteor,bleu1,bleu2,bleu3,bleu4,bertscore_precision,bertscore_recall,bertscore_f1,interaction_number
0.28220858895705525,0.04106776180698152,0.1390593047034765,0.15267158101656844,0.22230879858833313,0.08986410560215509,0.04381794748572155,0.02165610790095849,0.42058199644088745,0.4593367874622345,0.43910592794418335,1
0.24372759856630827,0.02158273381294964,0.11469534050179211,0.11693379782809611,0.15588466628068823,0.04911283697525436,0.023199633102861716,0.01212669029646246,0.39870402216911316,0.4617028832435608,0.42789706587791443,2
0.21851289833080426,0.0091324200913242,0.10015174506828527,0.09555489183872722,0.09877365640037,0.02700210477974219,0.013228388723399029,0.007041574149295894,0.38005805015563965,0.4541499614715576,0.4138137102127075,3
0.21038615179760323,0.029372496662216287,0.10386151797603196,0.08454283712506776,0.07134488565742252,0.021547114730217948,0.010034771490837556,0.005207749504492404,0.37186312675476074,0.4525895416736603,0.40827417373657227,4
0.2132352941176471,0.0171990171990172,0.09803921568627451,0.07959268799408584,0.04815309737967571,0.0141211047847581,0.006512132412374299,0.003363035815993302,0.35350823402404785,0.4475237727165222,0.39499878883361816,5
0.19914346895074944,0.019313304721030045,0.08779443254817987,0.0739583970205122,0.04019492722271701,0.012615427660755246,0.005565257782081126,0.0028107372125151745,0.37373587489128113,0.4582020938396454,0.41168108582496643,6
0.1806981519507187,0.016460905349794237,0.08008213552361397,0.063574474459751,0.019727826217768467,0.006069311515552625,0.002745850557694981,0.0014045080704524768,0.3623989224433899,0.4624210596084595,0.4063453674316406,7
0.17790262172284643,0.016885553470919325,0.07865168539325842,0.060053669069353756,0.01627059212564466,0.005061933676214142,0.0022266117700001833,0.0011229615190424208,0.36692675948143005,0.4677945375442505,0.41126617789268494,8
0.15897435897435896,0.01541095890410959,0.07521367521367521,0.052536231884057975,0.007910677620061871,0.0025595243796670436,0.0011081330688474083,0.0005544752445906061,0.36080634593963623,0.46963411569595337,0.40808939933776855,9
0.1496492595479345,0.015612802498048401,0.08106001558846453,0.04748804611253029,0.004952013542432793,0.0016802341513749877,0.0007727053179939206,0.0003708302785719691,0.35520535707473755,0.4653177261352539,0.40287312865257263,10
0.1406133133881825,0.008988764044943821,0.06731488406881078,0.04161098286963917,0.0025093270340924307,0.0006658551156222459,0.00030890094322530545,0.0001600022505500948,0.3520298898220062,0.4703354239463806,0.4026729464530945,11
